扁柯盒籍
[八祸炼扒]
磊丰备盒 : 岿
磊丰屈怕 : 扁夯
瘤开/瘤痢 : 力林
扁埃 : 1973~2021 01~12

斥岿,瘤痢,乞闭扁柯(∩),弥历扁柯(∩),弥绊扁柯(∩)
1996-05,力林,18.2,14.7,21.8
1996-06,力林,22.2,19.9,25.3
1996-07,力林,25.1,23,27.9
1996-08,力林,27.4,25,30.2
1996-09,力林,23.5,20.4,26.8
1996-10,力林,18.8,15.5,22.1
1996-11,力林,14,11,16.8
1996-12,力林,9.4,6,13
1997-01,力林,5.7,2.8,8.9
1997-02,力林,7.4,4.3,10.7
1997-03,力林,10.8,7.6,14
1997-04,力林,14.5,11.3,17.8
1997-05,力林,18.9,15.9,22.3
1997-06,力林,22.9,20,25.8
1997-07,力林,26.1,23.9,28.6
1997-08,力林,26.5,24.3,29
1997-09,力林,23.2,20.5,26.2
1997-10,力林,18.5,15.2,22.2
1997-11,力林,14.9,11.9,18
1997-12,力林,9.7,7,12.5
1998-01,力林,6.8,4.2,9.5
1998-02,力林,9.3,6.4,12.4
1998-03,力林,10.4,7.3,13.6
1998-04,力林,16.4,13.5,19.5
1998-05,力林,19.3,16.3,22.4
1998-06,力林,21.4,19.1,23.9
1998-07,力林,26.8,24.5,29.4
1998-08,力林,27.9,25.5,30.6
1998-09,力林,24.7,22.1,27.6
1998-10,力林,20,17.2,23.1
1998-11,力林,14.2,10.5,17.8
1998-12,力林,9.8,6.8,13.5
1999-01,力林,7.3,4.3,10.5
1999-02,力林,7.4,4.3,10.8
1999-03,力林,11.1,7.9,14.4
1999-04,力林,14.9,11.7,18.5
1999-05,力林,18.4,15.1,21.9
1999-06,力林,21.7,19.2,24.8
1999-07,力林,23.8,21.9,26.5
1999-08,力林,25.5,23.6,28
1999-09,力林,24.8,22.5,27.5
1999-10,力林,19.2,16.2,23
1999-11,力林,13.6,10.6,17.1
1999-12,力林,8.4,5.2,11.9
2000-01,力林,7.1,4.3,9.9
2000-02,力林,5.5,2.5,8.8
2000-03,力林,10.2,6.6,13.8
2000-04,力林,14.2,10.5,18.2
2000-05,力林,17.9,14.7,21.7
2000-06,力林,22,19.5,25.1
2000-07,力林,26.8,24.5,29.8
2000-08,力林,28.2,25.5,31
2000-09,力林,23,20.5,25.8
2000-10,力林,19.3,16.5,22.4
2000-11,力林,13.6,10.4,17
2000-12,力林,9.5,6.1,13
2001-01,力林,6.4,3.3,9.6
2001-02,力林,7.6,4.5,11.3
2001-03,力林,10.4,6.7,14.4
2001-04,力林,14.9,11.3,18.7
2001-05,力林,19.2,16.3,22.7
2001-06,力林,22.3,20,25.2
2001-07,力林,27.1,24.4,30.4
2001-08,力林,27.4,24.8,30.6
2001-09,力林,23.8,21.4,26.6
2001-10,力林,20.2,17.4,23.3
2001-11,力林,13.4,10.2,17
2001-12,力林,8.3,5.8,11
2002-01,力林,8.4,5.7,11.7
2002-02,力林,8.5,5.1,12.2
2002-03,力林,12.2,8.7,15.7
2002-04,力林,15.6,12.4,18.9
2002-05,力林,18.3,15.8,21.4
2002-06,力林,22.1,19.2,25.5
2002-07,力林,25,22.7,27.9
2002-08,力林,26.2,24,28.8
2002-09,力林,23.3,20.5,26.4
2002-10,力林,18.4,15.2,21.8
2002-11,力林,11.6,8.3,15.2
2002-12,力林,9.4,6.9,12.3
2003-01,力林,5.6,2.6,8.7
2003-02,力林,8.3,5.2,11.4
2003-03,力林,10.1,7,13.7
2003-04,力林,15.1,11.9,19.2
2003-05,力林,18.7,15.9,22
2003-06,力林,22,19.4,25.4
2003-07,力林,24.4,22.2,27.4
2003-08,力林,26.8,24.3,30.1
2003-09,力林,24.8,22.1,28.1
2003-10,力林,18.6,15.3,22.6
2003-11,力林,15.8,12.7,19.2
2003-12,力林,9.1,6.1,12.3
2004-01,力林,6.4,3.5,9.9
2004-02,力林,9,5.4,13
2004-03,力林,10.9,7.3,15.1
2004-04,力林,15.2,11.4,19.3
2004-05,力林,18.7,15.6,22.3
2004-06,力林,22.6,19.8,25.8
2004-07,力林,27.4,24.7,30.7
2004-08,力林,28.1,25.6,31.4
2004-09,力林,24,21.6,27.2
2004-10,力林,19,15.7,22.8
2004-11,力林,14.2,10.9,18.2
2004-12,力林,10.2,7.1,13.5
2005-01,力林,5.6,3.2,8.5
2005-02,力林,6,3.2,8.9
2005-03,力林,8.7,5.1,12.7
2005-04,力林,15.2,11.6,19.2
2005-05,力林,18.1,14.6,22
2005-06,力林,22.8,20.1,26
2005-07,力林,26.3,24.1,29.1
2005-08,力林,26.8,24.4,29.7
2005-09,力林,25,22.8,28
2005-10,力林,19.4,16.7,22.8
2005-11,力林,14.7,11.4,18.3
2005-12,力林,6.3,3.3,9.4
2006-01,力林,7.8,5.2,10.8
2006-02,力林,7.2,4.1,10.3
2006-03,力林,10.4,6.7,14.2
2006-04,力林,14.4,11,18.3
2006-05,力林,17.7,14.8,21.3
2006-06,力林,21.4,18.9,24.5
2006-07,力林,25.5,23.4,28.4
2006-08,力林,28.3,25.6,31.3
2006-09,力林,22.4,20.2,25.6
2006-10,力林,20.5,17.2,24.5
2006-11,力林,15.2,12.2,18.6
2006-12,力林,9.5,6.7,12.7
2007-01,力林,7.6,5,10.6
2007-02,力林,9.7,6.2,13.5
2007-03,力林,11.2,7.8,14.9
2007-04,力林,14.4,10.7,18.4
2007-05,力林,19.2,15.8,23.2
2007-06,力林,21.7,19.2,24.7
2007-07,力林,25.1,22.8,28
2007-08,力林,28.2,25.7,31.3
2007-09,力林,24.2,22,27
2007-10,力林,19.2,16.5,22.6
2007-11,力林,13,9.6,16.6
2007-12,力林,10,7.5,12.8
2008-01,力林,7.1,4.9,9.9
2008-02,力林,5.6,2.5,8.9
2008-03,力林,10.6,7.3,14.3
2008-04,力林,14.7,11.6,18.1
2008-05,力林,17.9,14.5,21.7
2008-06,力林,20.8,18.6,23.4
2008-07,力林,27.2,24.8,30.3
2008-08,力林,26.9,24.4,30.3
2008-09,力林,24.3,22.1,27.2
2008-10,力林,20,17,23.6
2008-11,力林,13.5,10.5,16.7
2008-12,力林,9.1,5.8,12.7
2009-01,力林,6.1,3.4,8.9
2009-02,力林,9.8,6.9,12.9
2009-03,力林,10.8,7.2,14.4
2009-04,力林,14.5,10.8,18.3
2009-05,力林,19.3,15.7,23.4
2009-06,力林,22.4,19.7,25.6
2009-07,力林,25.7,23.4,28.4
2009-08,力林,26.1,24,28.9
2009-09,力林,23.7,21.3,26.7
2009-10,力林,19.8,16.6,23.6
2009-11,力林,13.1,10.5,16.3
2009-12,力林,8.1,5.3,11.3
2010-01,力林,6.4,3.4,9.8
2010-02,力林,8.3,5.3,11.4
2010-03,力林,10.1,6.6,13.6
2010-04,力林,12.6,9.5,16
2010-05,力林,17.8,14.8,21.6
2010-06,力林,21.6,19.3,24.6
2010-07,力林,25.9,23.8,28.8
2010-08,力林,28.6,26.3,31.5
2010-09,力林,24.9,22.4,28
2010-10,力林,18.6,15.7,21.7
2010-11,力林,12.9,9,16.7
2010-12,力林,8,4.7,11.4
2011-01,力林,3.2,0.9,5.7
2011-02,力林,8,5,11.4
2011-03,力林,8.6,5.5,11.9
2011-04,力林,13.7,10,17.6
2011-05,力林,18.5,15.7,21.8
2011-06,力林,21.7,19.6,24.3
2011-07,力林,27,24.7,30
2011-08,力林,26.2,24.4,28.9
2011-09,力林,24.1,21.5,27.2
2011-10,力林,18.9,16,22.2
2011-11,力林,16.5,13.9,19.6
2011-12,力林,7.7,5.1,10.6
2012-01,力林,6.1,3.7,8.8
2012-02,力林,5.7,3,8.6
2012-03,力林,9.9,6.9,13.1
2012-04,力林,15,11.3,18.8
2012-05,力林,19.5,16.3,23.2
2012-06,力林,22.4,20.3,25.1
2012-07,力林,26.4,24.2,29
2012-08,力林,27.9,25.8,30.5
2012-09,力林,22.5,20,25.7
2012-10,力林,19.1,15.9,22.8
2012-11,力林,12.6,9.8,15.7
2012-12,力林,7.3,4.5,10.4
2013-01,力林,6.3,3.4,9.4
2013-02,力林,7.4,4.1,10.6
2013-03,力林,11.1,6.9,15.7
2013-04,力林,13.9,10.1,18.1
2013-05,力林,18.9,15.6,22.7
2013-06,力林,22,19.9,24.9
2013-07,力林,28,25.8,31
2013-08,力林,29.1,26.5,32.3
2013-09,力林,24.7,21.9,27.9
2013-10,力林,20.2,17.4,23.4
2013-11,力林,13.4,10.2,16.7
2013-12,力林,8.4,5.6,11.6
2014-01,力林,7.5,4.1,11
2014-02,力林,8.1,5.5,11.1
2014-03,力林,11.3,8.1,14.7
2014-04,力林,15.3,12.2,18.7
2014-05,力林,19.3,15.9,23.2
2014-06,力林,21.7,19.5,24.6
2014-07,力林,25.2,23.1,28
2014-08,力林,25.3,23.5,27.8
2014-09,力林,23.9,21.4,26.9
2014-10,力林,19.6,16.7,23
2014-11,力林,14.5,11.7,17.8
2014-12,力林,7.5,4.5,10.6
2015-01,力林,7.9,5,11.1
2015-02,力林,7.7,4.8,11.1
2015-03,力林,10.8,7.5,14.3
2015-04,力林,15.1,12.1,18.8
2015-05,力林,18.9,16,22.8
2015-06,力林,21.6,19.3,24.7
2015-07,力林,24.9,22.8,27.9
2015-08,力林,26.3,24,29.2
2015-09,力林,23,20.5,25.9
2015-10,力林,19.1,15.8,22.7
2015-11,力林,15.3,12.6,18
2015-12,力林,10.1,7.4,12.8
2016-01,力林,6.2,3.8,8.8
2016-02,力林,7.4,4.4,10.8
2016-03,力林,11,7.7,14.5
2016-04,力林,15.7,12.8,19.5
2016-05,力林,18.9,15.8,22.5
2016-06,力林,22,19.7,24.9
2016-07,力林,26.6,24.5,29.4
2016-08,力林,28.1,25.6,31.1
2016-09,力林,23.8,21.7,26.4
2016-10,力林,20.3,18.2,23.1
2016-11,力林,14.2,11.3,17.4
2016-12,力林,10,6.9,13.3
2017-01,力林,7.1,4.3,10.1
2017-02,力林,7.4,3.7,11.1
2017-03,力林,10.1,6.9,13.4
2017-04,力林,15.7,12.6,19.3
2017-05,力林,19.4,16.2,23.3
2017-06,力林,22.1,19.6,25.2
2017-07,力林,28.4,26.1,31.4
2017-08,力林,28.5,25.9,31.7
2017-09,力林,24.1,21.7,27.3
2017-10,力林,19.6,17,22.4
2017-11,力林,13.2,9.9,16.7
2017-12,力林,7.3,4.4,10.4
2018-01,力林,5.4,2.6,8.3
2018-02,力林,5.9,2.7,9.2
2018-03,力林,11.6,8.2,15.3
2018-04,力林,15.9,12.6,19.6
2018-05,力林,18.9,16.1,22.5
2018-06,力林,22.2,19.7,25.3
2018-07,力林,27,24.9,29.8
2018-08,力林,28.3,26.2,31.2
2018-09,力林,23.7,21.3,26.7
2018-10,力林,17.9,14.9,21.3
2018-11,力林,14.2,11,17.8
2018-12,力林,9.3,6.9,12
2019-01,力林,7.1,4.5,10.1
2019-02,力林,8.4,5.6,11.3
2019-03,力林,11.2,7.9,15
2019-04,力林,14.9,11.9,18.6
2019-05,力林,20,16.6,23.7
2019-06,力林,21.6,19.1,24.8
2019-07,力林,24.7,22.9,27.3
2019-08,力林,27.4,25.2,30.2
2019-09,力林,24.1,22,26.8
2019-10,力林,19.6,16.6,22.7
2019-11,力林,14.7,11.3,18.3
2019-12,力林,9.8,6.7,13.1
2020-01,力林,8.7,6.4,11.2
2020-02,力林,9,5.6,12.4
2020-03,力林,11.3,7.8,14.8
2020-04,力林,13,9.4,16.9
2020-05,力林,18.3,15.2,22.2
2020-06,力林,22,19.4,25.3
2020-07,力林,23.6,21.4,26.3
2020-08,力林,28.1,25.9,31
2020-09,力林,22.5,19.9,25.5
2020-10,力林,18.2,15.4,21.3
2020-11,力林,14.2,11.1,17.4
2020-12,力林,7.6,4.7,10.8
2021-01,力林,6.7,3.5,9.8
2021-02,力林,9.3,6,13
2021-03,力林,12.5,9,16.2
2021-04,力林,15.4,12,19.2
2021-05,力林,18.6,15.2,22.6
2021-06,力林,22.8,20.2,26.1
2021-07,力林,26.9,24.8,29.7
2021-08,力林,26.7,24.5,29.5
2021-09,力林,24.5,22.1,27.3
2021-10,力林,20,17,23.5
2021-11,力林,,,

